Informe as versões (deixe em branco para buscar todas):
 - Versão do Bottlerocket (ex: 1.58.0). Deixe em branco para todas.
 - Versão do Kubernetes (ex: 1.35). Deixe em branco para todas.
 - Regiões (separadas por vírgula). Deixe em branco para todas as regiões.
Versão do Bottlerocket: 1.58.0
Versão do Kubernetes: 
Regiões (comma-separated): 
Buscando AMIs com o padrao: bottlerocket-aws-k8s-*-*-v1.58.0-*
==================================================
Consultando regiao: ap-south-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-north-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-3...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-west-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-3...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-northeast-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ca-central-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: sa-east-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-southeast-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: ap-southeast-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: eu-central-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-east-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-east-2...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-west-1...
  -> 48 AMI(s) encontrada(s)
Consultando regiao: us-west-2...
  -> 48 AMI(s) encontrada(s)

Resultado final:
K8S_Version  Region          AMI_ID                 Arch    Name                                                            CreationDate
1.30         eu-west-2       ami-073611f86bf23a2fc  arm64   bottlerocket-aws-k8s-1.30-nvidia-aarch64-v1.58.0-c5c37032       2026-04-01T22:57:35.000Z
1.30         eu-west-2       ami-06fe7d8c1fb585389  x86_64  bottlerocket-aws-k8s-1.30-nvidia-fips-x86_64-v1.58.0-c5c37032   2026-04-01T22:59:53.000Z
1.30         eu-west-2       ami-07c9e5795cb26a44a  arm64   bottlerocket-aws-k8s-1.30-aarch64-v1.58.0-c5c37032              2026-04-01T22:59:15.000Z
1.30         eu-west-2       ami-076ee2a1b33c68ff4  x86_64  bottlerocket-aws-k8s-1.30-fips-x86_64-v1.58.0-c5c37032          2026-04-01T22:59:10.000Z
1.30         eu-west-2       ami-097392fa903772194  x86_64  bottlerocket-aws-k8s-1.30-x86_64-v1.58.0-c5c37032               2026-04-01T22:56:42.000Z
1.30         eu-west-2       ami-0c298633376496557  arm64   bottlerocket-aws-k8s-1.30-fips-aarch64-v1.58.0-c5c37032         2026-04-01T22:59:25.000Z
1.30         eu-west-1       ami-00048595ec13f088c  x86_64  bottlerocket-aws-k8s-1.30-nvidia-fips-x86_64-v1.58.0-c5c37032   2026-04-01T22:59:52.000Z
1.30         eu-west-1       ami-0285f9e1533d7dee4  arm64   bottlerocket-aws-k8s-1.30-nvidia-aarch64-v1.58.0-c5c37032       2026-04-01T22:57:34.000Z
1.30         eu-west-1       ami-0418270d5c8ed38dc  arm64   bottlerocket-aws-k8s-1.30-fips-aarch64-v1.58.0-c5c37032         2026-04-01T22:59:24.000Z
1.30         eu-west-1       ami-0a5bee5993eb6d97e  x86_64  bottlerocket-aws-k8s-1.30-x86_64-v1.58.0-c5c37032               2026-04-01T22:56:41.000Z
